date,TA,Fundamentals,Hybrid
2018-01-02,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0
2018-01-10,0.0,-0.0011202326360680859,0.0
2018-01-11,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0
2018-01-16,0.0,-0.0014372559021582632,0.0
2018-01-17,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0
2018-01-24,0.0,-0.001617522650597003,0.0
2018-01-25,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0
2018-01-29,0.0,-0.007333610523827527,0.0
2018-01-30,0.0,-0.023181613746932506,0.0
2018-01-31,0.0,-0.023037227931757887,0.0
2018-02-01,0.0,-0.019865039682950614,0.0
2018-02-02,-0.017172969708232677,-0.047444424440017396,0.0
2018-02-05,-0.017418676465805527,-0.09772503547183264,0.0
2018-02-06,0.0,-0.07904650083261544,0.0
2018-02-07,-0.00024999999999986144,-0.0886576238066934,-0.00024999999999997247
2018-02-08,-0.00024999999999986144,-0.12348108491785936,-0.00024999999999997247
2018-02-09,-0.00024999999999986144,-0.10171843731652097,-0.00024999999999997247
2018-02-12,-0.00024999999999986144,-0.09481456012857914,-0.00024999999999997247
2018-02-13,-0.00024999999999986144,-0.09332686281338387,-0.00024999999999997247
2018-02-14,-0.00024999999999986144,-0.08196912217189789,-0.00024999999999997247
2018-02-15,-0.00024999999999986144,-0.07386008908885666,-0.00024999999999997247
2018-02-16,0.0,-0.07185802764477989,0.0
2018-02-20,-0.0002500000000000835,-0.0764449156490743,-0.00024999999999997247
2018-02-21,-0.0002500000000000835,-0.08458277056886687,-0.00024999999999997247
2018-02-22,-0.0002500000000000835,-0.08079543662738198,-0.00024999999999997247
2018-02-23,0.0,-0.0638575037374175,0.0
2018-02-26,0.0,-0.052527523826834455,0.0
2018-02-27,-0.012785481135702326,-0.06284846472490457,-0.012785481135702326
2018-02-28,-0.017292125067394637,-0.07705085428029335,-0.017292125067394526
2018-03-01,-0.026933520534030753,-0.09002456044957785,-0.026933520534030753
2018-03-02,-0.02483763647755466,-0.08377423963814579,-0.024837636477554548
2018-03-05,-0.018654423745669058,-0.07578982710154747,-0.018654423745669058
2018-03-06,-0.022007907458524767,-0.07559055688442573,-0.022007907458524878
2018-03-07,-0.01634862247669966,-0.07321099294365363,-0.01634862247669977
2018-03-08,-0.010375153901072798,-0.06873456696312408,-0.010375153901072909
2018-03-09,0.0,-0.05426765911316589,0.0
2018-03-12,0.0,-0.05461065753533234,0.0
2018-03-13,-0.02438798185563762,-0.05899277970922956,-0.02438798185563762
2018-03-14,-0.030175048814272798,-0.06341697062351215,-0.030175048814272798
2018-03-15,-0.026764427459878948,-0.0588948652186988,-0.026764427459878948
2018-03-16,-0.0224244898551208,-0.05816474194069188,-0.02242448985512069
2018-03-19,-0.022668883732656964,-0.08027897454195887,-0.022668883732656964
2018-03-20,-0.022668883732656964,-0.07800094520698198,-0.022668883732656964
2018-03-21,-0.022668883732656964,-0.07725716660063975,-0.022668883732656964
2018-03-22,-0.022668883732656964,-0.10090684454035737,-0.022668883732656964
2018-03-23,-0.022668883732656964,-0.11983499444790402,-0.022668883732656964
2018-03-26,-0.022668883732656964,-0.09644198238533808,-0.022668883732656964
2018-03-27,-0.022668883732656964,-0.11721572664076985,-0.022668883732656964
2018-03-28,-0.022668883732656964,-0.11964704531767623,-0.022668883732656964
2018-03-29,-0.022668883732656964,-0.10396705753742375,-0.022668883732656964
2018-04-02,-0.022668883732656964,-0.12226251497922991,-0.022668883732656964
2018-04-03,-0.022668883732656964,-0.10556951248319713,-0.022668883732656964
2018-04-04,-0.0073389234239132906,-0.09665218275513954,-0.022668883732656964
2018-04-05,-0.00343281229046144,-0.09256748829355699,-0.022668883732656964
2018-04-06,-0.0036819540873888057,-0.11038402678342962,-0.022668883732656964
2018-04-09,-0.0036819540873888057,-0.10609698323728844,-0.022668883732656964
2018-04-10,-0.0036819540873888057,-0.08480817518623462,-0.022668883732656964
2018-04-11,-0.0036819540873888057,-0.08886493755526048,-0.022668883732656964
2018-04-12,-0.0036819540873888057,-0.08135437230871656,-0.022668883732656964
2018-04-13,-0.0036819540873888057,-0.08038447019741957,-0.022668883732656964
2018-04-16,-0.0036819540873888057,-0.07265809132655443,-0.022668883732656964
2018-04-17,-0.0036819540873888057,-0.06056193778470609,-0.022668883732656964
2018-04-18,-0.0036819540873888057,-0.06263354706073943,-0.022668883732656964
2018-04-19,-0.0036819540873888057,-0.06419880094653085,-0.022668883732656964
2018-04-20,-0.0036819540873888057,-0.07090189344243114,-0.022668883732656964
2018-04-23,-0.0036819540873888057,-0.07065406043484734,-0.022668883732656964
2018-04-24,-0.0036819540873888057,-0.0858048849022891,-0.022668883732656964
2018-04-25,0.0,-0.08858655174524932,-0.022668883732656964
2018-04-26,0.0,-0.0674832019244912,-0.022668883732656964
2018-04-27,-0.007391348297466904,-0.06555457588471514,-0.022668883732656964
2018-04-30,0.0,-0.07554034972233148,-0.022668883732656964
2018-05-01,-0.0004684080832324522,-0.07583729647082704,-0.022668883732656964
2018-05-02,-0.0007182909812115668,-0.08311399917805873,-0.022668883732656964
2018-05-03,-0.0007182909812115668,-0.08162439268147936,-0.022668883732656964
2018-05-04,-0.0007182909812115668,-0.07171437868965369,-0.022668883732656964
