date,TA,Fundamentals,Hybrid
2018-01-02,1.0,1.0,1.0
2018-01-03,1.0,1.0157628693314669,1.0
2018-01-04,1.0,1.0193100593895843,1.0
2018-01-05,1.0,1.0268902250052137,1.0
2018-01-08,1.0,1.0293072410290183,1.0
2018-01-09,1.0,1.0304113251922296,1.0
2018-01-10,1.0,1.029257024797175,1.0
2018-01-11,1.0,1.0353483796484693,1.0
2018-01-12,1.0,1.037611153833547,1.0
2018-01-16,1.0,1.0361198410785546,1.0
2018-01-17,1.0,1.0470343463619374,1.0
2018-01-18,1.0,1.0482129530842896,1.0
2018-01-19,1.0,1.0526216844144154,1.0
2018-01-22,1.0,1.0638623828091867,1.0
2018-01-23,1.0,1.0648110427601245,1.0
2018-01-24,1.0,1.0630886867798541,1.0
2018-01-25,1.0,1.0674235928602098,1.0
2018-01-26,1.0,1.0844651384402042,1.0
2018-01-29,1.0,1.076512093488215,1.0
2018-01-30,1.0,1.0593254864788697,1.0
2018-01-31,1.0,1.059482067861912,1.0
2018-02-01,1.015662730631483,1.062922195430313,1.0
2018-02-02,0.9982207853245676,1.0330133141216449,1.0
2018-02-05,0.9979712301282365,0.9784857443181694,1.0
2018-02-06,1.0354855659752373,0.9987419639715481,1.0375905985207412
2018-02-07,1.0352266945837436,0.9883190361648989,1.037331200871111
2018-02-08,1.0352266945837436,0.9505542065900112,1.037331200871111
2018-02-09,1.0352266945837436,0.9741550392338221,1.037331200871111
2018-02-12,1.0352266945837436,0.9816420533642175,1.037331200871111
2018-02-13,1.0352266945837436,0.9832554092390979,1.037331200871111
2018-02-14,1.0352266945837436,0.9955724830162349,1.037331200871111
2018-02-15,1.0352266945837436,1.0043664467012514,1.037331200871111
2018-02-16,1.0503116925987375,1.006537612542368,1.0524468650902645
2018-02-20,1.0500491146755877,1.001563292407781,1.052183753373992
2018-02-21,1.0500491146755877,0.992738072445582,1.052183753373992
2018-02-22,1.0500491146755877,0.9968453040727536,1.052183753373992
2018-02-23,1.0764586645236391,1.01521390180916,1.078646991041332
2018-02-26,1.092023078298171,1.027500870041415,1.0942430456215146
2018-02-27,1.0780610378308382,1.0163081694415563,1.0802526218038473
2018-02-28,1.0731396786517577,1.00090617308619,1.0753212580225007
2018-03-01,1.0626110522951917,0.9868366410292342,1.0647712280830472
2018-03-02,1.064899806054301,0.9936148960532996,1.0670646346362753
2018-03-05,1.071652017055547,1.0022737131001653,1.0738305721677395
2018-03-06,1.0679899354484115,1.0024898147037633,1.070161045936342
2018-03-07,1.0741700052552308,1.00507036884222,1.0763536791708943
2018-03-08,1.0806931707973042,1.0099248967629124,1.0828901056180127
2018-03-09,1.104840552904547,1.025613753987219,1.1070865767969864
2018-03-12,1.1074730638338173,1.0252417841558394,1.1097244393423145
2018-03-13,1.0804640308474307,1.0204895254258621,1.0826604998508764
2018-03-14,1.0740550100721395,1.0156916446135187,1.0762384502147686
2018-03-15,1.0778321813530671,1.0205957102773908,1.0800233000850823
2018-03-16,1.0826385453490563,1.021387503519153,1.0848394349103032
2018-03-19,1.082367885712719,0.9974053891997211,1.0845682250515756
2018-03-20,1.082367885712719,0.9998758325978477,1.0845682250515756
2018-03-21,1.082367885712719,1.0006824345671435,1.0845682250515756
2018-03-22,1.082367885712719,0.9750351833061814,1.0845682250515756
2018-03-23,1.082367885712719,0.9545082645962769,1.0845682250515756
2018-03-26,1.082367885712719,0.9798771706612408,1.0845682250515756
2018-03-27,1.082367885712719,0.9573487692213526,1.0845682250515756
2018-03-28,1.082367885712719,0.954712088875809,1.0845682250515756
2018-03-29,1.082367885712719,0.9717164889946613,1.0845682250515756
2018-04-02,1.082367885712719,0.9518757032072062,1.0845682250515756
2018-04-03,1.082367885712719,0.9699786824700489,1.0845682250515756
2018-04-04,1.0993454038242942,0.9796492156881039,1.0845682250515756
2018-04-05,1.1036713166889336,0.9840789244328699,1.0845682250515756
2018-04-06,1.1033953988597613,0.9647575095529249,1.0845682250515756
2018-04-09,1.1033953988597613,0.9694066588256901,1.0845682250515756
2018-04-10,1.1033953988597613,0.9924936289960031,1.0845682250515756
2018-04-11,1.1033953988597613,0.9880942116318585,1.0845682250515756
2018-04-12,1.1033953988597613,0.996239157811716,1.0845682250515756
2018-04-13,1.1033953988597613,0.9972909828391171,1.0845682250515756
2018-04-16,1.1033953988597613,1.0056699713709514,1.0845682250515756
2018-04-17,1.1033953988597613,1.0187878281963059,1.0845682250515756
2018-04-18,1.1033953988597613,1.0165412401559784,1.0845682250515756
2018-04-19,1.1033953988597613,1.0148437768840295,1.0845682250515756
2018-04-20,1.1033953988597613,1.0075745067524855,1.0845682250515756
2018-04-23,1.1033953988597613,1.007843273009365,1.0845682250515756
2018-04-24,1.1033953988597613,0.9914127320557975,1.0845682250515756
2018-04-25,1.1112807405327703,0.9883961113378521,1.0845682250515756
2018-04-26,1.1210970906504751,1.0112819585227726,1.0845682250515756
2018-04-27,1.1128106715782007,1.0133734862279977,1.0845682250515756
2018-04-30,1.127726242391956,1.0025442626207546,1.0845682250515756
2018-05-01,1.1271980063043463,1.0022222342240379,1.0845682250515756
2018-05-02,1.1269162068027703,0.9943309038152517,1.0845682250515756
2018-05-03,1.1269162068027703,0.9959463301307862,1.0845682250515756
2018-05-04,1.1269162068027703,1.0066933948263757,1.0845682250515756
2018-05-07,1.1269162068027703,1.0124239924100815,1.0845682250515756
2018-05-08,1.1269162068027703,1.0127181794613822,1.0845682250515756
2018-05-09,1.1269162068027703,1.0252063153999542,1.0845682250515756
